charity,ceo,contributions,year,charity_sector,state,fundraising,emp_compensation,emp_number,ceo_basesalary,ceo_extra,year_founded,ceo_year_started,ceo_gender,ceo_last_school,ceo_degree,ceo_school_rank,missing_data,state1,sector1,degree1,gender1,ceo_salary,charity_age,ceo_duration,founder
Achievement First,Dacia Toll,29253402,2012,Education,CT,1034564,14990621,227,243255,0,1999,2005,female,Yale University,JD,97,,CT,Education,JD,female,243255,13,7,0
Achievement First,Dacia Toll,20937868,2013,Education,CT,731198,12526814,246,248964,0,1999,2005,female,Yale University,JD,97,,CT,Education,JD,female,248964,14,8,0
Achievement First,Dacia Toll,18827529,2014,Education,CT,779838,18683383,257,262463,0,1999,2005,female,Yale University,JD,97,,CT,Education,JD,female,262463,15,9,0
Achievement First,Dacia Toll,18165683,2011,Education,CT,1102039,12537920,222,224200,7900,1999,2005,female,Yale University,JD,97,,CT,Education,JD,female,232100,12,6,0
Achievement First,Dacia Toll,17623163,2010,Education,CT,807317,10334816,152,219456,7712,1999,2005,female,Yale University,JD,97,,CT,Education,JD,female,227168,11,5,0
Oceana,Andrew Sharpless,44635808,2013,Environment,DC,2257565,9925700,154,297799,0,2011,2003,male,Harvard University,JD,98,,DC,Environment,JD,male,297799,2,10,0
Oceana,Andrew Sharpless,22331482,2010,Environment,DC,2111511,9493476,138,220417,41940,2011,2003,male,Harvard University,JD,98,,DC,Environment,JD,male,262357,0,7,0
Oceana,Andrew Sharpless,21110289,2014,Environment,DC,2393689,12557731,131,351679,0,2011,2003,male,Harvard University,JD,98,,DC,Environment,JD,male,351679,3,11,0
Oceana,Andrew Sharpless,19665430,2011,Environment,DC,2097525,10876311,150,288396,0,2011,2003,male,Harvard University,JD,98,,DC,Environment,JD,male,288396,0,8,0
Oceana,Andrew Sharpless,15092380,2012,Environment,DC,2310865,9369832,139,270913,0,2011,2003,male,Harvard University,JD,98,,DC,Environment,JD,male,270913,1,9,0
Wildlife Conservation Society,Cristian Samper,205728684,2014,Animals,NY,10039940,109195070,2708,1190755,0,1895,2012,male,Harvard University,Ph.D,98,,NY,Animals,Ph.D,male,1190755,119,2,0
Wildlife Conservation Society,Cristian Samper,165318984,2013,Animals,NY,9577402,101357645,2856,963139,0,1895,2012,male,Harvard University,Ph.D,98,,NY,Animals,Ph.D,male,963139,118,1,0
Center of Community Change,Deepak Bhargava,35330465,2012,Community Development,DC,1035151,8970029,119,201932,0,1968,1994,male,Harvard University,B.A.,98,,DC,Community Development,B.A.,male,201932,44,18,0
Center of Community Change,Deepak Bhargava,16260527,2011,Community Development,DC,837466,6492587,100,193440,0,1968,1994,male,Harvard University,B.A.,98,,DC,Community Development,B.A.,male,193440,43,17,0
Center of Community Change,Deepak Bhargava,15767733,2013,Community Development,DC,1194455,11478204,180,239473,0,1968,1994,male,Harvard University,B.A.,98,,DC,Community Development,B.A.,male,239473,45,19,0
Center of Community Change,Deepak Bhargava,9734366,2010,Community Development,DC,917619,6943304,126,199888,0,1968,1994,male,Harvard University,B.A.,98,,DC,Community Development,B.A.,male,199888,42,16,0
Center of Community Change,Deepak Bhargava,7935500,2014,Community Development,DC,1276607,11428449,184,257263,0,1968,1994,male,Harvard University,B.A.,98,,DC,Community Development,B.A.,male,257263,46,20,0
The Asia Foundation,Douglas Bereuter,147240642,2010,International,CA,360838,46283733,223,355776,27037,1952,2004,male,Harvard University,MPA,98,,CA,International,MPA,male,382813,58,6,0
National Fish and Wildlife Foundation,Jeff Trandahl,156160483,2012,Animals,DC,3597813,12996030,116,499080,32336,1984,2005,male,Harvard University,B.A.,98,,DC,Animals,B.A.,male,531416,28,7,0
National Fish and Wildlife Foundation,Jeff Trandahl,127179571,2013,Animals,DC,4010561,15710397,142,537835,156822,1984,2005,male,Harvard University,B.A.,98,,DC,Animals,B.A.,male,694657,29,8,0
National Fish and Wildlife Foundation,Jeff Trandahl,116332691,2014,Animals,DC,4383414,15470737,164,748933,228917,1984,2005,male,Harvard University,B.A.,98,,DC,Animals,B.A.,male,977850,30,9,0
National Fish and Wildlife Foundation,Jeff Trandahl,105836638,2010,Animals,DC,3186651,10248508,107,382597,0,1984,2005,male,Harvard University,B.A.,98,,DC,Animals,B.A.,male,382597,26,5,0
National Fish and Wildlife Foundation,Jeff Trandahl,95996450,2011,Animals,DC,3601808,11936473,120,452644,0,1984,2005,male,Harvard University,B.A.,98,,DC,Animals,B.A.,male,452644,27,6,0
The Nature Conservancy,Mark Tercek,717080310,2014,Environment,VA,89529538,328647634,3824,727581,0,1951,2008,male,Harvard University,MBA,98,,VA,Environment,MBA,male,727581,63,6,0
The Nature Conservancy,Mark Tercek,708946532,2013,Environment,VA,91748969,309858258,3786,619014,0,1951,2008,male,Harvard University,MBA,98,,VA,Environment,MBA,male,619014,62,5,0
The Nature Conservancy,Mark Tercek,685668095,2011,Environment,VA,83348329,285256034,3725,590738,0,1951,2008,male,Harvard University,MBA,98,,VA,Environment,MBA,male,590738,60,3,0
The Nature Conservancy,Mark Tercek,653451355,2010,Environment,VA,73533115,271377342,3598,549335,0,1951,2008,male,Harvard University,MBA,98,,VA,Environment,MBA,male,549335,59,2,0
The Nature Conservancy,Mark Tercek,610766647,2012,Environment,VA,87884038,298380218,3712,646821,0,1951,2008,male,Harvard University,MBA,98,,VA,Environment,MBA,male,646821,61,4,0
CancerCare,Patricia Goldsmith,15293597,2014,Health,NY,2301722,6861046,114,220145,0,1944,2014,female,Harvard University,MHCM,98,,NY,Health,MHCM,female,220145,70,0,0
The Boston Foundation,Paul Grogan,126797786,2012,Community Development,MA,1885071,10151443,125,571435,60438,1915,1998,male,Harvard University,M.A.,98,,MA,Community Development,M.A.,male,631873,97,14,0
The Boston Foundation,Paul Grogan,120675901,2014,Community Development,MA,1998360,10783896,133,540758,64369,1915,1998,male,Harvard University,M.A.,98,,MA,Community Development,M.A.,male,605127,99,16,0
The Boston Foundation,Paul Grogan,110073779,2013,Community Development,MA,1941905,10367581,124,525187,61781,1915,1998,male,Harvard University,M.A.,98,,MA,Community Development,M.A.,male,586968,98,15,0
The Boston Foundation,Paul Grogan,77304308,2010,Community Development,MA,1712375,7696560,73,540877,39010,1915,1998,male,Harvard University,M.A.,98,,MA,Community Development,M.A.,male,579887,95,12,0
The Boston Foundation,Paul Grogan,57474290,2011,Community Development,MA,3055127,9380898,95,603157,0,1915,1998,male,Harvard University,M.A.,98,,MA,Community Development,M.A.,male,603157,96,13,0
Amnesty International USA,Suzanne Nossel,35401908,2012,International,NY,6124016,11541928,184,249189,224424,1966,2012,female,Harvard University,JD,98,,NY,International,JD,female,473613,46,0,0
ASPCA,Edwin Sayres,145059094,2013,Animals,NY,33548937,66957781,853,713166,0,1866,2003,male,Sonoma State University,M.A.,,,NY,Animals,M.A.,male,713166,147,10,0
